team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 1 xg against,team 1 xg diff,team 2 xg for,team 2 xg against,team 2 xg diff
Iran,Portugal,1823,1959,,0,0.73,1.1,-0.37,1.3,0.78,0.52
Spain,Morocco,2011,1728,,0,1.43,0.73,0.7,0.85,1.35,-0.5
Australia,Peru,1736,1855,0,-2,0.88,1.62,-0.74,1.02,1.45,-0.43
Denmark,France,1897,2092,,0,1.15,1.1,0.05,1.68,1.31,0.37
Nigeria,Argentina,1712,1920,0,-1,1.0,1.55,-0.55,1.35,1.42,-0.07
Iceland,Croatia,1668,1924,0,-1,0.98,1.48,-0.5,1.7,1.49,0.21
Mexico,Sweden,1779,1850,0,-3,1.2,1.35,-0.15,1.25,1.2,0.05
South Korea,Germany,1778,1937,1,2,0.83,1.58,-0.75,0.95,1.6,-0.65
Switzerland,Costa Rica,1921,1724,,0,1.08,1.22,-0.14,0.78,1.8,-1.02
Serbia,Brazil,1814,2136,0,-2,0.8,1.72,-0.92,2.05,0.72,1.33
Senegal,Colombia,1755,1960,0,-1,1.05,1.3,-0.25,1.22,1.28,-0.06
Japan,Poland,1730,1751,0,-1,1.1,1.4,-0.3,0.9,1.7,-0.8
England,Belgium,1959,2034,0,-1,1.9,1.1,0.8,1.85,1.15,0.7
Panama,Tunisia,1565,1646,0,-1,0.72,2.1,-1.38,0.93,1.65,-0.72
France,Argentina,2092,1920,1,1,1.68,1.31,0.37,1.35,1.42,-0.07
Uruguay,Portugal,1922,1959,1,1,1.55,1.12,0.43,1.3,0.78,0.52
Spain,Russia,2011,1752,,0,1.43,0.73,0.7,1.48,1.38,0.1
Croatia,Denmark,1924,1897,,0,1.7,1.49,0.21,1.15,1.1,0.05
Brazil,Mexico,2136,1779,1,2,2.05,0.72,1.33,1.2,1.35,-0.15
Belgium,Japan,2034,1730,1,1,1.85,1.15,0.7,1.1,1.4,-0.3
Sweden,Switzerland,1850,1921,1,1,1.25,1.2,0.05,1.08,1.22,-0.14
Colombia,England,1960,1959,,0,1.22,1.28,-0.06,1.9,1.1,0.8
Uruguay,France,1922,2092,0,-2,1.55,1.12,0.43,1.68,1.31,0.37
Brazil,Belgium,2136,2034,0,-1,2.05,0.72,1.33,1.85,1.15,0.7
Sweden,England,1850,1959,0,-2,1.25,1.2,0.05,1.9,1.1,0.8
Russia,Croatia,1752,1924,,0,1.48,1.38,0.1,1.7,1.49,0.21
France,Belgium,2092,2034,1,1,1.68,1.31,0.37,1.85,1.15,0.7
Croatia,England,1924,1959,1,1,1.7,1.49,0.21,1.9,1.1,0.8
Belgium,England,2034,1959,1,2,1.85,1.15,0.7,1.9,1.1,0.8
Croatia,France,1924,2092,1,2,1.7,1.49,0.21,1.68,1.31,0.37
