num_features,features,val_accuracy
5,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8170370370370371
6,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8162962962962963
2,"avg_per_player_diff, avg_attend_diff",0.8140740740740742
2,"total_value_diff, avg_attend_diff",0.8140740740740742
2,"avg_age_diff, avg_attend_diff",0.8140740740740741
3,"total_value_diff, avg_per_player_diff, avg_attend_diff",0.8133333333333335
3,"alt_diff, avg_age_diff, avg_attend_diff",0.8125925925925926
3,"alt_diff, avg_per_player_diff, avg_attend_diff",0.8118518518518519
4,"alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8118518518518519
3,"alt_diff, total_value_diff, avg_attend_diff",0.8118518518518519
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_attend_diff",0.8111111111111111
3,"elo_diff, avg_age_diff, avg_attend_diff",0.8111111111111111
3,"elo_diff, xg_for_diff, humid_diff",0.8111111111111111
4,"elo_diff, xg_for_diff, avg_age_diff, avg_attend_diff",0.8111111111111111
3,"avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8088888888888889
3,"avg_age_diff, total_value_diff, avg_attend_diff",0.8088888888888889
4,"elo_diff, xg_for_diff, alt_diff, humid_diff",0.8088888888888889
4,"elo_diff, alt_diff, avg_age_diff, avg_attend_diff",0.8081481481481481
4,"avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8081481481481481
4,"alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8059259259259259
4,"alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8059259259259259
2,"elo_diff, xg_for_diff",0.8059259259259258
5,"alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8044444444444444
2,"elo_diff, humid_diff",0.8037037037037037
5,"elo_diff, xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff",0.8029629629629629
4,"elo_diff, xg_for_diff, humid_diff, avg_per_player_diff",0.8029629629629629
4,"elo_diff, xg_for_diff, humid_diff, total_value_diff",0.8029629629629629
4,"elo_diff, xg_for_diff, total_value_diff, avg_per_player_diff",0.8022222222222222
4,"elo_diff, humid_diff, total_value_diff, avg_per_player_diff",0.8014814814814814
3,"elo_diff, humid_diff, avg_per_player_diff",0.8014814814814814
3,"elo_diff, humid_diff, total_value_diff",0.8014814814814814
3,"elo_diff, xg_for_diff, avg_per_player_diff",0.8007407407407408
6,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.8007407407407408
3,"elo_diff, xg_for_diff, total_value_diff",0.8007407407407408
3,"elo_diff, alt_diff, humid_diff",0.8007407407407408
5,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.8007407407407408
5,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.8007407407407408
5,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff",0.8
3,"elo_diff, humid_diff, avg_age_diff",0.7992592592592592
4,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff",0.7992592592592592
4,"elo_diff, xg_for_diff, humid_diff, avg_age_diff",0.7985185185185186
4,"elo_diff, xg_for_diff, avg_age_diff, avg_per_player_diff",0.7985185185185185
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_per_player_diff",0.7977777777777777
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",0.7977777777777777
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff",0.7977777777777777
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff",0.7970370370370371
4,"elo_diff, humid_diff, avg_age_diff, total_value_diff",0.797037037037037
4,"elo_diff, alt_diff, humid_diff, total_value_diff",0.797037037037037
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.797037037037037
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",0.797037037037037
5,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.797037037037037
4,"elo_diff, alt_diff, humid_diff, avg_per_player_diff",0.797037037037037
4,"elo_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.797037037037037
5,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",0.7962962962962962
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7955555555555555
4,"elo_diff, alt_diff, humid_diff, avg_age_diff",0.7955555555555555
3,"xg_for_diff, humid_diff, avg_age_diff",0.7940740740740742
3,"elo_diff, xg_for_diff, alt_diff",0.7933333333333334
5,"elo_diff, xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff",0.7911111111111111
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7911111111111111
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7903703703703704
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",0.7903703703703704
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff",0.7903703703703704
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff",0.7903703703703704
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",0.7903703703703704
2,"xg_for_diff, humid_diff",0.7896296296296296
4,"elo_diff, xg_for_diff, alt_diff, total_value_diff",0.7896296296296296
4,"elo_diff, xg_for_diff, alt_diff, avg_per_player_diff",0.7896296296296296
3,"elo_diff, alt_diff, avg_age_diff",0.7888888888888889
3,"elo_diff, xg_for_diff, avg_age_diff",0.788148148148148
2,"elo_diff, avg_age_diff",0.7859259259259258
4,"xg_for_diff, alt_diff, humid_diff, avg_age_diff",0.7844444444444444
3,"elo_diff, total_value_diff, avg_per_player_diff",0.7837037037037037
3,"elo_diff, avg_age_diff, total_value_diff",0.7837037037037036
4,"elo_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7837037037037036
3,"elo_diff, avg_age_diff, avg_per_player_diff",0.7837037037037036
4,"elo_diff, alt_diff, avg_age_diff, total_value_diff",0.7829629629629629
5,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",0.7829629629629629
2,"elo_diff, total_value_diff",0.7829629629629629
2,"elo_diff, avg_per_player_diff",0.7829629629629629
